name,fatal,minor_injury,no_injury,serious_injury
Andover,0,12,11,1
Ansonia,0,147,213,4
Ashford,0,24,27,1
Avon,0,37,54,1
Barkhamsted,0,18,13,0
Beacon Falls,0,26,31,1
Berlin,0,67,71,4
Bethany,0,15,19,1
Bethel,0,58,90,6
Bethlehem,0,16,20,0
Bloomfield,0,140,208,3
Bolton,0,14,21,0
Bozrah,0,15,15,0
Branford,2,178,257,6
Bridgeport,0,922,1337,19
Bridgewater,0,7,8,0
Bristol,0,453,628,16
Brookfield,0,30,46,1
Brooklyn,0,46,83,3
Burlington,0,20,31,0
Canaan,0,3,4,0
Canterbury,0,22,26,1
Canton,0,24,37,1
Chaplin,0,3,22,1
Cheshire,0,89,126,2
Chester,0,9,10,0
Clinton,1,122,149,4
Colchester,0,60,83,2
Colebrook,0,8,5,0
Columbia,0,16,13,0
Cornwall,0,3,5,0
Coventry,0,32,50,1
Cromwell,0,72,97,3
Danbury,0,391,518,15
Darien,0,36,54,1
Deep River,0,11,16,0
Derby,0,84,113,1
Durham,0,11,12,0
East Granby,0,10,12,0
East Haddam,0,37,42,2
East Hampton,0,56,50,1
East Hartford,2,516,602,9
East Haven,0,248,342,5
East Lyme,0,39,35,0
East Windsor,0,106,110,0
Eastford,0,5,7,0
Easton,0,15,23,1
Ellington,0,36,34,3
Enfield,1,376,502,9
Essex,0,13,15,2
Fairfield,1,107,189,3
Farmington,0,113,143,2
Franklin,0,7,6,1
Glastonbury,0,101,137,1
Goshen,0,12,11,1
Granby,0,31,44,2
Greenwich,0,125,164,6
Griswold,0,63,72,1
Groton,1,275,409,7
Guilford,1,56,108,3
Haddam,0,18,23,1
Hamden,0,220,323,4
Hampton,0,10,13,0
Hartford,5,2093,3019,63
Hartland,0,14,10,0
Harwinton,0,23,19,0
Hebron,0,18,29,0
Kent,0,13,24,0
Killingly,1,159,232,4
Killingworth,0,6,19,0
Lebanon,0,30,31,2
Ledyard,0,34,45,0
Lisbon,0,22,24,0
Litchfield,0,42,40,1
Lyme,0,3,3,0
Madison,0,57,72,0
Manchester,2,623,929,15
Mansfield,0,70,98,1
Marlborough,0,13,18,0
Meriden,1,587,782,21
Middlebury,0,11,16,0
Middlefield,0,3,15,0
Middletown,2,349,515,10
Milford,0,249,284,5
Monroe,0,42,67,2
Montville,0,64,114,5
Morris,0,8,12,0
Naugatuck,0,255,322,10
New Britain,2,1022,1305,19
New Canaan,0,42,35,0
New Fairfield,0,33,47,2
New Hartford,0,29,22,0
New Haven,4,1662,2291,44
New London,0,596,772,20
New Milford,0,161,236,2
Newington,0,148,246,7
Newtown,0,47,66,2
Norfolk,0,6,9,0
North Branford,1,53,72,2
North Canaan,0,27,50,1
North Haven,1,61,109,2
North Stonington,0,8,14,0
Norwalk,1,644,879,15
Norwich,0,530,740,5
Old Lyme,0,14,20,0
Old Saybrook,0,47,58,0
Orange,0,31,31,3
Oxford,0,40,56,1
Plainfield,0,111,155,1
Plainville,0,154,216,2
Plymouth,0,104,125,4
Pomfret,0,5,8,0
Portland,1,16,36,2
Preston,0,17,18,0
Prospect,0,21,30,0
Putnam,1,140,233,2
Redding,1,11,16,0
Ridgefield,0,35,52,0
Rocky Hill,1,64,80,2
Roxbury,0,10,3,0
Salem,0,15,18,0
Salisbury,0,12,10,0
Scotland,0,3,6,0
Seymour,0,104,140,7
Sharon,0,7,10,0
Shelton,0,108,117,3
Sherman,0,5,6,0
Simsbury,0,41,69,3
Somers,0,21,13,0
South Windsor,0,86,116,6
Southbury,0,43,51,3
Southington,1,215,293,9
Sprague,0,18,17,0
Stafford,0,68,82,2
Stamford,0,398,536,8
Sterling,0,8,31,0
Stonington,0,115,170,6
Stratford,1,236,321,4
Suffield,0,31,53,3
Thomaston,0,36,59,0
Thompson,0,35,56,0
Tolland,0,10,41,1
Torrington,0,443,652,15
Trumbull,0,94,129,3
Union,0,0,3,0
Vernon,0,195,316,5
Voluntown,0,10,10,0
Wallingford,1,245,303,8
Warren,0,9,3,0
Washington,0,13,13,0
Waterbury,2,1203,1719,29
Waterford,1,88,123,2
Watertown,1,121,145,4
West Hartford,0,268,345,2
West Haven,2,424,650,11
Westbrook,0,26,27,1
Weston,0,9,7,0
Westport,0,65,63,0
Wethersfield,0,83,122,10
Willington,0,12,20,1
Wilton,0,38,57,2
Winchester,0,92,147,4
Windham,2,348,458,8
Windsor,0,161,203,2
Windsor Locks,0,104,161,3
Wolcott,0,77,129,3
Woodbridge,0,5,8,0
Woodbury,0,34,36,0
Woodstock,0,15,33,1
